uniprot_accession,uniprot_id,gene_name,protein_name,organism,sequence_length,uniprot_orphan_status,uniprot_ligand_info,iuphar_target_id,iuphar_name,iuphar_is_orphan,consensus_status,date_retrieved
Q8N0Y5,OR8I2_HUMAN,OR8I2,Olfactory receptor 8I2,,310,unknown,,,,,unknown,2026-05-05
Q8N162,OR8H2_HUMAN,OR8H2,Olfactory receptor 8H2,,312,unknown,,,,,unknown,2026-05-05
Q8NG78,OR8G5_HUMAN,OR8G5,Olfactory receptor 8G5,,346,unknown,,,,,unknown,2026-05-05
Q8NG81,OR2M7_HUMAN,OR2M7,Olfactory receptor 2M7,,312,unknown,,,,,unknown,2026-05-05
Q8NG83,OR2M3_HUMAN,OR2M3,Olfactory receptor 2M3,,312,unknown,,,,,unknown,2026-05-05
Q8NG92,O13H1_HUMAN,OR13H1,Olfactory receptor 13H1,,308,unknown,,,,,unknown,2026-05-05
Q8NG95,OR7G3_HUMAN,OR7G3,Olfactory receptor 7G3,,312,unknown,,,,,unknown,2026-05-05
Q8NG99,OR7G2_HUMAN,OR7G2,Olfactory receptor 7G2,,324,unknown,,,,,unknown,2026-05-05
Q8NGA2,OR7A2_HUMAN,OR7A2P,Putative olfactory receptor 7A2,,310,unknown,,,,,unknown,2026-05-05
Q8NGA5,O10H4_HUMAN,OR10H4,Olfactory receptor 10H4,,316,unknown,,,,,unknown,2026-05-05
Q8NGB2,OR4C5_HUMAN,OR4C5,Olfactory receptor 4C5,,326,unknown,,,,,unknown,2026-05-05
Q8NGB9,OR4F6_HUMAN,OR4F6,Olfactory receptor 4F6,,312,unknown,,,,,unknown,2026-05-05
Q8NGD3,OR4K5_HUMAN,OR4K5,Olfactory receptor 4K5,,323,unknown,,,,,unknown,2026-05-05
Q8NGD5,OR4KE_HUMAN,OR4K14,Olfactory receptor 4K14,,310,unknown,,,,,unknown,2026-05-05
Q8NGE1,OR6C4_HUMAN,OR6C4,Olfactory receptor 6C4,,309,unknown,,,,,unknown,2026-05-05
Q8NGE7,OR9K2_HUMAN,OR9K2,Olfactory receptor 9K2,,335,unknown,,,,,unknown,2026-05-05
Q8NGE8,OR4D9_HUMAN,OR4D9,Olfactory receptor 4D9,,314,unknown,,,,,unknown,2026-05-05
Q8NGF0,O52B6_HUMAN,OR52B6,Olfactory receptor 52B6,,335,unknown,,,,,unknown,2026-05-05
Q8NGF9,OR4X2_HUMAN,OR4X2,Olfactory receptor 4X2,,303,unknown,,,,,unknown,2026-05-05
Q8NGG1,OR8J2_HUMAN,OR8J2,Olfactory receptor 8J2,,315,unknown,,,,,unknown,2026-05-05
Q8NGG5,OR8K1_HUMAN,OR8K1,Olfactory receptor 8K1,,319,unknown,,,,,unknown,2026-05-05
Q8NGH3,OR2D3_HUMAN,OR2D3,Olfactory receptor 2D3,,330,unknown,,,,,unknown,2026-05-05
Q8NGI1,O56B2_HUMAN,OR56B2,Olfactory receptor 56B2,,316,unknown,,,,,unknown,2026-05-05
Q8NGJ2,O52H1_HUMAN,OR52H1,Olfactory receptor 52H1,,314,unknown,,,,,unknown,2026-05-05
Q8NGJ8,O51S1_HUMAN,OR51S1,Olfactory receptor 51S1,,323,unknown,,,,,unknown,2026-05-05
Q8NGJ9,O51T1_HUMAN,OR51T1,Olfactory receptor 51T1,,327,unknown,,,,,unknown,2026-05-05
Q8NGK1,O51G1_HUMAN,OR51G1,Olfactory receptor 51G1,,321,unknown,,,,,unknown,2026-05-05
Q8NGL4,OR5DD_HUMAN,OR5D13,Olfactory receptor 5D13,,314,unknown,,,,,unknown,2026-05-05
Q8NGL6,O4A15_HUMAN,OR4A15,Olfactory receptor 4A15,,344,unknown,,,,,unknown,2026-05-05
Q8NGM1,OR4CF_HUMAN,OR4C15,Olfactory receptor 4C15,,316,unknown,,,,,unknown,2026-05-05
Q8NGN4,O10G9_HUMAN,OR10G9,Olfactory receptor 10G9,,311,unknown,,,,,unknown,2026-05-05
Q8NGN7,O10D4_HUMAN,OR10D4P,Putative olfactory receptor 10D4,,298,unknown,,,,,unknown,2026-05-05
Q8NGN8,OR4A4_HUMAN,OR4A4P,Putative olfactory receptor 4A4,,299,unknown,,,,,unknown,2026-05-05
Q8NGP3,OR5M9_HUMAN,OR5M9,Olfactory receptor 5M9,,310,unknown,,,,,unknown,2026-05-05
Q8NGP6,OR5M8_HUMAN,OR5M8,Olfactory receptor 5M8,,311,unknown,,,,,unknown,2026-05-05
Q8NGP8,OR5M1_HUMAN,OR5M1,Olfactory receptor 5M1,,315,unknown,,,,,unknown,2026-05-05
Q8NGP9,O5AR1_HUMAN,OR5AR1,Olfactory receptor 5AR1,,310,unknown,,,,,unknown,2026-05-05
Q8NGQ3,OR1S2_HUMAN,OR1S2,Olfactory receptor 1S2,,325,unknown,,,,,unknown,2026-05-05
Q8NGQ4,O10Q1_HUMAN,OR10Q1,Olfactory receptor 10Q1,,319,unknown,,,,,unknown,2026-05-05
Q8NGR4,OR5C1_HUMAN,OR5C1,Olfactory receptor 5C1,,320,unknown,,,,,unknown,2026-05-05
Q8NGS0,OR1N1_HUMAN,OR1N1,Olfactory receptor 1N1,,311,unknown,,,,,unknown,2026-05-05
Q8NGS1,OR1J4_HUMAN,OR1J4,Olfactory receptor 1J4,,313,unknown,,,,,unknown,2026-05-05
Q8NGS3,OR1J1_HUMAN,OR1J1,Olfactory receptor 1J1,,322,unknown,,,,,unknown,2026-05-05
Q8NGT1,OR2K2_HUMAN,OR2K2,Olfactory receptor 2K2,,316,unknown,,,,,unknown,2026-05-05
Q8NGT7,O2A12_HUMAN,OR2A12,Olfactory receptor 2A12,,310,unknown,,,,,unknown,2026-05-05
Q8NGT9,OR2A1_HUMAN,OR2A1,Olfactory receptor 2A1/2A42,,310,unknown,,,,,unknown,2026-05-05
Q8NGU1,OR9A1_HUMAN,OR9A1P,Olfactory receptor 9A1,,314,unknown,,,,,unknown,2026-05-05
Q8NGU9,GP150_HUMAN,GPR150,Probable G-protein coupled receptor 150,,434,orphan,,136,GPR150,1,orphan,2026-05-05
Q8NGV0,OR2Y1_HUMAN,OR2Y1,Olfactory receptor 2Y1,,311,unknown,,,,,unknown,2026-05-05
Q8NGV7,OR5H2_HUMAN,OR5H2,Olfactory receptor 5H2,,309,unknown,,,,,unknown,2026-05-05
Q8NGX5,O10K1_HUMAN,OR10K1,Olfactory receptor 10K1,,313,unknown,,,,,unknown,2026-05-05
Q8NGZ6,OR6F1_HUMAN,OR6F1,Olfactory receptor 6F1,,308,unknown,,,,,unknown,2026-05-05
Q8NH02,O2T29_HUMAN,OR2T29,Olfactory receptor 2T29,,315,unknown,,,,,unknown,2026-05-05
Q8NH06,OR1P1_HUMAN,OR1P1,Olfactory receptor 1P1,,330,unknown,,,,,unknown,2026-05-05
Q8NH49,OR4X1_HUMAN,OR4X1,Olfactory receptor 4X1,,305,unknown,,,,,unknown,2026-05-05
Q8NH51,OR8K3_HUMAN,OR8K3,Olfactory receptor 8K3,,312,unknown,,,,,unknown,2026-05-05
Q8NH56,O52N5_HUMAN,OR52N5,Olfactory receptor 52N5,,324,unknown,,,,,unknown,2026-05-05
Q8NH61,O51F2_HUMAN,OR51F2,Olfactory receptor 51F2,,342,unknown,,,,,unknown,2026-05-05
Q8NH63,O51H1_HUMAN,OR51H1,Olfactory receptor 51H1,,302,unknown,,,,,unknown,2026-05-05
Q8NH67,O52I2_HUMAN,OR52I2,Olfactory receptor 52I2,,350,unknown,,,,,unknown,2026-05-05
Q8NH73,OR4S2_HUMAN,OR4S2,Olfactory receptor 4S2,,311,unknown,,,,,unknown,2026-05-05
Q8NH83,OR4A5_HUMAN,OR4A5,Olfactory receptor 4A5,,315,unknown,,,,,unknown,2026-05-05
Q8NH90,O5AK2_HUMAN,OR5AK2,Olfactory receptor 5AK2,,309,unknown,,,,,unknown,2026-05-05
Q8NHB8,OR5K2_HUMAN,OR5K2,Olfactory receptor 5K2,,316,unknown,,,,,unknown,2026-05-05
Q8NHC5,O14AG_HUMAN,OR14A16,Olfactory receptor 14A16,,309,unknown,,,,,unknown,2026-05-05
Q8NHC7,O14CZ_HUMAN,OR14C36,Olfactory receptor 14C36,,312,unknown,,,,,unknown,2026-05-05
Q8TDU5,VNRL4_HUMAN,VN1R17P,Putative vomeronasal receptor-like protein 4,,208,unknown,,,,,unknown,2026-05-05
Q96P67,GPR82_HUMAN,GPR82,Probable G-protein coupled receptor 82,,336,orphan,,118,GPR82,1,orphan,2026-05-05
Q96R30,OR2V2_HUMAN,OR2V2,Olfactory receptor 2V2,,315,unknown,,,,,unknown,2026-05-05
Q96R45,OR2A7_HUMAN,OR2A7,Olfactory receptor 2A7,,310,unknown,,,,,unknown,2026-05-05
Q96RC9,OR8B4_HUMAN,OR8B4,Olfactory receptor 8B4,,309,unknown,,,,,unknown,2026-05-05
Q9GZK3,OR2B2_HUMAN,OR2B2,Olfactory receptor 2B2,,357,unknown,,,,,unknown,2026-05-05
Q9H343,O51I1_HUMAN,OR51I1,Olfactory receptor 51I1,,314,unknown,,,,,unknown,2026-05-05
Q9H346,O52D1_HUMAN,OR52D1,Olfactory receptor 52D1,,318,unknown,,,,,unknown,2026-05-05
Q9NZP5,O5AC2_HUMAN,OR5AC2,Olfactory receptor 5AC2,,309,unknown,,,,,unknown,2026-05-05
Q9UGF5,O14J1_HUMAN,OR14J1,Olfactory receptor 14J1,,321,unknown,,,,,unknown,2026-05-05
Q9Y5P0,O51B4_HUMAN,OR51B4,Olfactory receptor 51B4,,310,unknown,,,,,unknown,2026-05-05
A6NHA9,O4C46_HUMAN,OR4C46,Olfactory receptor 4C46,,309,unknown,,,,,unknown,2026-05-05
A6NJZ3,O6C65_HUMAN,OR6C65,Olfactory receptor 6C65,,312,unknown,,,,,unknown,2026-05-05
A6NL08,O6C75_HUMAN,OR6C75,Olfactory receptor 6C75,,312,unknown,,,,,unknown,2026-05-05
B2RN74,O11HC_HUMAN,OR11H12,Olfactory receptor 11H12,,326,unknown,,,,,unknown,2026-05-05
O43869,OR2T1_HUMAN,OR2T1,Olfactory receptor 2T1,,369,unknown,,,,,unknown,2026-05-05
O60431,OR1I1_HUMAN,OR1I1,Olfactory receptor 1I1,,355,unknown,,,,,unknown,2026-05-05
O76100,OR7AA_HUMAN,OR7A10,Olfactory receptor 7A10,,309,unknown,,,,,unknown,2026-05-05
O95006,OR2F2_HUMAN,OR2F2,Olfactory receptor 2F2,,317,unknown,,,,,unknown,2026-05-05
P0C7N1,OR8U8_HUMAN,OR8U8,Olfactory receptor 8U8,,319,unknown,,,,,unknown,2026-05-05
P58180,OR4D2_HUMAN,OR4D2,Olfactory receptor 4D2,,307,unknown,,,,,unknown,2026-05-05
P59922,OR2B8_HUMAN,OR2B8,Olfactory receptor 2B8,,312,unknown,,,,,unknown,2026-05-05
Q6IF63,O52W1_HUMAN,OR52W1,Olfactory receptor 52W1,,320,unknown,,,,,unknown,2026-05-05
Q6IF82,O4A47_HUMAN,OR4A47,Olfactory receptor 4A47,,309,unknown,,,,,unknown,2026-05-05
Q6UXT6,OR9H1_HUMAN,OR9H1,Olfactory receptor OR9H1,,308,unknown,,,,,unknown,2026-05-05
Q8N148,OR6V1_HUMAN,OR6V1,Olfactory receptor 6V1,,313,unknown,,,,,unknown,2026-05-05
Q8NG75,OR5T1_HUMAN,OR5T1,Olfactory receptor 5T1,,326,unknown,,,,,unknown,2026-05-05
Q8NG76,O2T33_HUMAN,OR2T33,Olfactory receptor 2T33,,320,unknown,,,,,unknown,2026-05-05
Q8NGC4,O10G3_HUMAN,OR10G3,Olfactory receptor 10G3,,313,unknown,,,,,unknown,2026-05-05
Q8NGF3,O51D1_HUMAN,OR51D1,Olfactory receptor 51D1,,324,unknown,,,,,unknown,2026-05-05
Q8NGF8,OR4B1_HUMAN,OR4B1,Olfactory receptor 4B1,,309,unknown,,,,,unknown,2026-05-05
Q8NGG0,OR8J3_HUMAN,OR8J3,Olfactory receptor 8J3,,315,unknown,,,,,unknown,2026-05-05
Q8NGG3,OR5T3_HUMAN,OR5T3,Olfactory receptor 5T3,,340,unknown,,,,,unknown,2026-05-05
Q8NGG6,OR8BC_HUMAN,OR8B12,Olfactory receptor 8B12,,310,unknown,,,,,unknown,2026-05-05
Q8NGI3,O56B1_HUMAN,OR56B1,Olfactory receptor 56B1,,324,unknown,,,,,unknown,2026-05-05
Q8NGJ0,OR5A1_HUMAN,OR5A1,Olfactory receptor 5A1,,315,unknown,,,,,unknown,2026-05-05
Q8NGK3,O52K2_HUMAN,OR52K2,Olfactory receptor 52K2,,314,unknown,,,,,unknown,2026-05-05
Q8NGK5,O52M1_HUMAN,OR52M1,Olfactory receptor 52M1,,317,unknown,,,,,unknown,2026-05-05
Q8NGK9,OR5DG_HUMAN,OR5D16,Olfactory receptor 5D16,,328,unknown,,,,,unknown,2026-05-05
Q8NGL1,OR5DI_HUMAN,OR5D18,Olfactory receptor 5D18,,313,unknown,,,,,unknown,2026-05-05
Q8NGM8,OR6M1_HUMAN,OR6M1,Olfactory receptor 6M1,,313,unknown,,,,,unknown,2026-05-05
Q8NGN6,O10G7_HUMAN,OR10G7,Olfactory receptor 10G7,,311,unknown,,,,,unknown,2026-05-05
Q8NGQ5,OR9Q1_HUMAN,OR9Q1,Olfactory receptor 9Q1,,310,unknown,,,,,unknown,2026-05-05
Q8NGR8,OR1L8_HUMAN,OR1L8,Olfactory receptor 1L8,,309,unknown,,,,,unknown,2026-05-05
Q8NGS6,O13C3_HUMAN,OR13C3,Olfactory receptor 13C3,,347,unknown,,,,,unknown,2026-05-05
Q8NGT5,OR9A2_HUMAN,OR9A2,Olfactory receptor 9A2,,310,unknown,,,,,unknown,2026-05-05
Q8NGX8,OR6Y1_HUMAN,OR6Y1,Olfactory receptor 6Y1,,325,unknown,,,,,unknown,2026-05-05
Q8NGY6,OR6N2_HUMAN,OR6N2,Olfactory receptor 6N2,,317,unknown,,,,,unknown,2026-05-05
Q8NGY7,O10J6_HUMAN,OR10J6P,Putative olfactory receptor 10J6,,276,unknown,,,,,unknown,2026-05-05
Q8NGZ9,O2T10_HUMAN,OR2T10,Olfactory receptor 2T10,,312,unknown,,,,,unknown,2026-05-05
Q8NH00,OR2T4_HUMAN,OR2T4,Olfactory receptor 2T4,,348,unknown,,,,,unknown,2026-05-05
Q8NH05,OR4Q3_HUMAN,OR4Q3,Olfactory receptor 4Q3,,313,unknown,,,,,unknown,2026-05-05
Q8NH16,OR2L2_HUMAN,OR2L2,Olfactory receptor 2L2,,312,unknown,,,,,unknown,2026-05-05
Q8NH57,O52P1_HUMAN,OR52P1,Olfactory receptor 52P1,,321,unknown,,,,,unknown,2026-05-05
Q8NH74,O10A6_HUMAN,OR10A6,Olfactory receptor 10A6,,314,unknown,,,,,unknown,2026-05-05
Q8NH76,O56B4_HUMAN,OR56B4,Olfactory receptor 56B4,,319,unknown,,,,,unknown,2026-05-05
Q8NH80,O10D3_HUMAN,OR10D3,Olfactory receptor 10D3,,312,unknown,,,,,unknown,2026-05-05
Q8NH93,OR1L3_HUMAN,OR1L3,Olfactory receptor 1L3,,324,unknown,,,,,unknown,2026-05-05
Q8NH95,O13C6_HUMAN,OR13C6P,Putative olfactory receptor 13C6,,151,unknown,,,,,unknown,2026-05-05
Q8NHA4,O2AE1_HUMAN,OR2AE1,Olfactory receptor 2AE1,,323,unknown,,,,,unknown,2026-05-05
Q8NHB1,OR2V1_HUMAN,OR2V1,Olfactory receptor 2V1,,315,unknown,,,,,unknown,2026-05-05
Q8NHC6,O14L1_HUMAN,OR14L1,Olfactory receptor 14L1,,325,unknown,,,,,unknown,2026-05-05
Q96LB0,MRGX3_HUMAN,MRGPRX3,Mas-related G-protein coupled receptor member X3,,322,orphan,,158,MRGPRX3,1,orphan,2026-05-05
Q96R67,OR4CC_HUMAN,OR4C12,Olfactory receptor 4C12,,309,unknown,,,,,unknown,2026-05-05
Q96R72,OR4K3_HUMAN,OR4K3,Olfactory receptor 4K3,,315,unknown,,,,,unknown,2026-05-05
Q96RD1,OR6C1_HUMAN,OR6C1,Olfactory receptor 6C1,,312,unknown,,,,,unknown,2026-05-05
Q99679,GPR21_HUMAN,GPR21,Probable G-protein coupled receptor 21,,349,orphan,,92,GPR21,1,orphan,2026-05-05
Q9H2C5,O52A5_HUMAN,OR52A5,Olfactory receptor 52A5,,316,unknown,,,,,unknown,2026-05-05
Q9P1P5,TAAR2_HUMAN,TAAR2,Trace amine-associated receptor 2,,351,unknown,Ligand-binding causes a conformation change that triggers signaling via the G(s)-class of G-proteins which activate adenylate cyclase,167,TAAR2,1,orphan,2026-05-05
P0C7N5,OR8U9_HUMAN,OR8U9,Olfactory receptor 8U9,,309,unknown,,,,,unknown,2026-05-05
P0C7N8,OR9G9_HUMAN,OR9G9,Olfactory receptor 9G9,,305,unknown,,,,,unknown,2026-05-05
P0DTE0,T2R36_HUMAN,TAS2R36,Putative taste receptor type 2 member 36,,309,unknown,,,,,unknown,2026-05-05
A0A0X1KG70,ORM2B_HUMAN,OR4M2B,Olfactory receptor 4M2B,,313,unknown,,,,,unknown,2026-05-05
P0DSN6,T2R33_HUMAN,TAS2R33,Putative taste receptor type 2 member 33,,309,unknown,,,,,unknown,2026-05-05
Q8NH21,OR4F5_HUMAN,OR4F5,Olfactory receptor 4F5,,305,unknown,,,,,unknown,2026-05-05
A0A096LPK9,ORN4C_HUMAN,OR4N4C,Olfactory receptor 4N4C,,316,unknown,,,,,unknown,2026-05-05
